idx,iso_utc,iso_ct,t,ticker,asset,side,price,mid,fairValue,edgeCents,yesBid,yesAsk,inventoryBefore,inventory,scenarioId,reason,centerMode,captureCents,realizedDelta,cashAfter,minutesLeft,fillSize,spot,strike,queueAhead,source,spread,fv_vs_mid_cents,price_vs_mid_cents
22,2026-09-23T23:51:40.552Z,2026-09-23 18:51:40.552 CT,1790207500552,KXNEAR15M-26SEP232000-00,NEAR,buy_yes,0.82,0.835,0.9071442063011887,5.714420630118877,0.82,0.87,-1,0,house_cover,book_depth,mid,4.0000000000000036,0.040000000000000036,100.07000000000001,8.334616666666667,1,4.288,4.2722,0,ui,5.000000000000004,7.2144206301188785,-1.5000000000000013
23,2026-09-23T23:52:55.461Z,2026-09-23 18:52:55.461 CT,1790207575461,KXHYPE15M-26SEP232000-00,HYPE,sell_yes,0.58,0.585,0.7451208826243051,20.012088262430506,0.53,0.57,0,-1,house_mid,taker_cross,mid,0,0,100.16,7.09435,1,94.07,93.9104,,ui,3.9999999999999925,16.012088262430513,-0.5000000000000004
24,2026-09-23T23:53:31.300Z,2026-09-23 18:53:31.300 CT,1790207611300,KXZEC15M-26SEP232000-00,ZEC,sell_yes,0.91,0.895,0.9091497094670874,1.414970946708738,0.87,0.91,1,0,house_cover,book_depth,mid,1.0000000000000009,0.010000000000000009,100.94999999999999,6.495433333333334,1,1498.64,1493.72,0,ui,4.0000000000000036,1.414970946708738,1.5000000000000013
25,2026-09-23T23:56:37.742Z,2026-09-23 18:56:37.742 CT,1790207797742,KXZEC15M-26SEP232000-00,ZEC,buy_yes,0.93,0.9475,0.99,4.049999999999998,0.93,0.97,0,1,house_mid,book_depth,mid,0,0,100.01999999999998,3.3749166666666666,1,1501.8,1493.72,0,ui,3.9999999999999925,4.249999999999998,-1.749999999999996
26,2026-09-23T23:57:09.104Z,2026-09-23 18:57:09.104 CT,1790207829104,KXXRP15M-26SEP232000-00,XRP,sell_yes,0.99,0.989,0.9529128723491771,-3.608712765082289,0.97,0.99,1,0,house_cover,book_depth,mid,17.000000000000004,0.17000000000000004,100.55,2.8618166666666665,1,1.5015,1.4974,0,ui,2.0000000000000018,-3.608712765082289,0.10000000000000009
27,2026-09-23T23:57:26.991Z,2026-09-23 18:57:26.991 CT,1790207846991,KXZEC15M-26SEP232000-00,ZEC,sell_yes,0.99,0.9884999999999999,0.99,0.15000000000000568,0.97,0.99,1,0,house_cover,book_depth,mid,5.999999999999995,0.05999999999999994,101.00999999999998,2.56225,1,1501.8,1493.72,0,ui,2.0000000000000018,0.15000000000000568,0.15000000000000568
28,2026-09-23T23:58:01.115Z,2026-09-23 18:58:01.115 CT,1790207881115,KXHYPE15M-26SEP232000-00,HYPE,buy_yes,0.75,0.74,0.8937239133590462,10.872391335904618,0.75,0.81,-1,0,flatten,taker_cross,mid,-17.000000000000004,-0.17000000000000004,99.41,1.9895,1,94.07,93.9104,,ui,6.000000000000005,15.372391335904624,1.0000000000000009
29,2026-09-24T00:00:43.123Z,2026-09-23 19:00:43.123 CT,1790208043123,KXBNB15M-26SEP232015-15,BNB,sell_yes,0.47,0.48,0.5234605133448622,7.84605133448622,0.43,0.47,0,-1,house_mid,taker_cross,mid,0,0,100.47,14.292733333333333,1,767.56,767.39,,ui,3.9999999999999982,4.346051334486223,-1.0000000000000009
30,2026-09-24T00:01:04.231Z,2026-09-23 19:01:04.231 CT,1790208064231,KXETH15M-26SEP232015-15,ETH,buy_yes,0.67,0.665,0.6020120894668755,-10.298791053312451,0.69,0.73,0,1,house_mid,taker_cross,mid,0,0,99.33,13.94135,1,2686.92,2684.4,,ui,4.0000000000000036,-6.298791053312458,0.5000000000000004
31,2026-09-24T00:01:31.355Z,2026-09-23 19:01:31.355 CT,1790208091355,KXHYPE15M-26SEP232015-15,HYPE,sell_yes,0.63,0.63,0.5872700343016041,-1.772996569839591,0.59,0.63,0,-1,house_mid,mid_walk,mid,0,0,100.03999999999999,13.488133333333334,1,94.07,93.9959,,ui,4.0000000000000036,-4.272996569839593,0.0
